ORDER_DATE,SHIP_VIA_TYPE,PRODUCT,PRODUCT_DESCRIPTION,QUANTITY,TOTAL_SALES,HUB,BRAND,PROD_CAT
2023-01-27,WILL CALL,PRODUCT_2,CAT_2_DES,1.0,12.55,2.0,SH,CAT_2
2023-01-30,UPS GROUND,PRODUCT_1,CAT_1_DES,2.0,75.98,2.0,SH,CAT_1
2023-01-30,WILL CALL,PRODUCT_3,CAT_1_DES,1.0,37.99,2.0,SH,CAT_1
2023-01-27,UPS GROUND,PRODUCT_10,CAT_8_DES,2.0,16.2,2.0,SH,CAT_8
2023-01-30,UPS GROUND,PRODUCT_3,CAT_1_DES,2.0,55.36,2.0,SH,CAT_1
2023-01-31,WILL CALL,PRODUCT_3,CAT_1_DES,2.0,75.98,2.0,SH,CAT_1
2023-01-30,UPS GROUND,PRODUCT_11,CAT_9_DES,2.0,134.24,2.0,SH,CAT_9
2023-01-27,WILL CALL,PRODUCT_2,CAT_2_DES,2.0,25.1,2.0,SH,CAT_2
2023-01-25,WILL CALL,PRODUCT_2,CAT_2_DES,2.0,25.1,2.0,SH,CAT_2
2023-01-31,UPS GROUND,PRODUCT_1,CAT_1_DES,3.0,100.77,2.0,SH,CAT_1
2023-01-31,WILL CALL,PRODUCT_2,CAT_2_DES,2.0,127.98,2.0,SH,CAT_2
2023-02-01,WILL CALL,PRODUCT_5,CAT_3_DES,2.0,84.68,2.0,SH,CAT_3
2023-01-31,WILL CALL,PRODUCT_1,CAT_1_DES,2.0,61.24,2.0,SH,CAT_1
2023-02-01,WILL CALL,PRODUCT_2,CAT_2_DES,1.0,36.28,2.0,SH,CAT_2
2023-02-01,WILL CALL,PRODUCT_3,CAT_1_DES,2.0,67.18,2.0,SH,CAT_1
2023-02-01,UPS GROUND,PRODUCT_3,CAT_1_DES,4.0,151.96,2.0,SH,CAT_1
2023-01-26,WILL CALL,PRODUCT_2,CAT_2_DES,2.0,53.46,2.0,SH,CAT_2
2023-01-27,WILL CALL,PRODUCT_2,CAT_2_DES,4.0,106.92,2.0,SH,CAT_2
2023-02-01,WILL CALL,PRODUCT_8,CAT_6_DES,2.0,32.0,2.0,SH,CAT_6
2023-02-01,WILL CALL,PRODUCT_11,CAT_9_DES,2.0,81.36,2.0,SH,CAT_9
2023-02-01,WILL CALL,PRODUCT_2,CAT_2_DES,4.0,106.92,2.0,SH,CAT_2
2023-01-31,UPS GROUND,PRODUCT_3,CAT_1_DES,10.0,306.2,2.0,SH,CAT_1
2023-02-01,WILL CALL,PRODUCT_2,CAT_2_DES,1.0,12.55,2.0,SH,CAT_2
2023-02-01,WILL CALL,PRODUCT_7,CAT_5_DES,2.0,5.38,2.0,SH,CAT_5
2023-02-01,WILL CALL,PRODUCT_7,CAT_5_DES,2.0,5.38,2.0,SH,CAT_5
2023-02-01,WILL CALL,PRODUCT_1,CAT_1_DES,36.0,785.16,2.0,SH,CAT_1
2023-02-01,WILL CALL,PRODUCT_10,CAT_8_DES,20.0,103.2,2.0,SH,CAT_8
2023-05-23,WILL CALL,PRODUCT_2,CAT_2_DES,2.0,57.34,2.0,SH,CAT_2
2023-05-22,WILL CALL,PRODUCT_1,CAT_1_DES,1.0,28.89,2.0,SH,CAT_1
